player_id,player_name,team,pass_attempts,completions,passing_yards,passing_tds,interceptions,rushing_attempts,rushing_yards,rushing_tds,fantasy_points_half_ppr,sacks,games_played,pass_attempts_per_game,passing_yards_per_game,rushing_attempts_per_game,rushing_yards_per_game,fantasy_points_half_ppr_per_game,ypa,completion_pct,td_pct,int_pct,dropbacks,fantasy_pts_per_dropback,rush_fantasy_contribution,position,signal_score,signal_rank,vegas_multiplier,signal_score_pre_vegas,positional_rank,replacement_signal,vbd_raw,vbd,carries,targets,receptions,receiving_yards,receiving_tds,carries_per_game,targets_per_game,receptions_per_game,receiving_yards_per_game,ypc,yards_per_reception,catch_rate,carry_share,target_share_backfield,opportunity_share,goal_line_carries,air_yards,yards_after_catch,wopr,yac_per_reception,target_share,adot,total_air_yards,racr,ngs_separation,redzone_targets,endzone_targets,yprr_proxy,yprr_note,fg_attempts,fg_makes,fg_att_40_49,fg_made_40_49,fg_att_50p,fg_made_50p,fg_pct,fg_pct_40_49,fg_pct_50p,fg_attempts_per_game,xp_attempts,fumbles_recovered,safeties,turnovers,sacks_per_game,turnovers_per_game,sack_rate,turnover_rate,points_allowed_per_game,opp_epa_per_dropback_allowed,opponent_dvoa,overall_rank,tier
00-0038597,Chase Brown,CIN,,,,,,,707.0,4.0,183.7,,10,,,,70.7,,,,,,,,,RB,90.93,1,1.0,90.93,1,67.42,23.510000000000005,25.86,178.0,50.0,42.0,310.0,3.0,17.8,5.0,4.2,31.0,3.9719101123595504,7.380952380952381,0.84,0.9013116785175608,0.8788888888888888,0.8934006252368322,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
00-0038542,Bijan Robinson,ATL,,,,,,,906.0,9.0,217.3,,10,,,,90.6,,,,,,,,,RB,89.39,2,1.0,89.39,2,67.42,21.97,24.17,194.0,44.0,38.0,267.0,1.0,19.4,4.4,3.8,26.7,4.670103092783505,7.026315789473684,0.8636363636363636,0.6840689437065148,0.9157142857142857,0.7187010853901098,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
PHI,PHI DST,PHI,,,,,10.0,,,,,30.0,11,,,,,,,,,,,,,DST,91.94,1,1.0,91.94,1,60.84,31.099999999999994,23.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,23.0,2.727272727272727,2.090909090909091,0.07731958762886598,0.027218934911242602,16.181818,-0.17597945695070877,,3,1
00-0034844,Saquon Barkley,PHI,,,,,,,1523.0,9.0,249.90001,,11,,,,138.45454545454547,,,,,,,,,RB,87.66,3,1.0,87.66,3,67.42,20.239999999999995,22.26,254.0,26.0,19.0,186.0,1.0,23.09090909090909,2.3636363636363638,1.7272727272727273,16.90909090909091,5.996062992125984,9.789473684210526,0.7307692307692307,0.7724614199618252,0.6545454545454545,0.7605761877702105,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1
00-0037744,Trey McBride,ARI,,,,,,,,,169.2,,10,,,,,,,,,,,,,TE,96.6,1,1.0,96.6,1,76.09,20.50999999999999,21.54,,98.0,76.0,810.0,1.0,,9.8,,81.0,,,0.7755102040816326,,,,,,380.0,0.6189289,,0.29369275083174196,,,,,18.0,11.0,8.26530612244898,proxy via targets; true YPRR requires PFF route data,,,,,,,,,,,,,,,,,,,,,,5,1
00-0037840,Kyren Williams,LA,,,,,,,939.0,8.0,175.0,,11,,,,85.36363636363636,,,,,,,,,RB,86.44,4,1.0,86.44,4,67.42,19.019999999999996,20.92,221.0,25.0,20.0,111.0,1.0,20.09090909090909,2.272727272727273,1.8181818181818181,10.090909090909092,4.248868778280543,5.55,0.8,0.8393672064548023,0.7924603174603174,0.8357464793623649,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1
00-0036223,Jonathan Taylor,IND,,,,,,,905.0,6.0,149.1,,9,,,,100.55555555555556,,,,,,,,,RB,85.78,5,1.0,85.78,5,67.42,18.36,20.2,197.0,19.0,11.0,56.0,1.0,21.88888888888889,2.111111111111111,1.2222222222222223,6.222222222222222,4.593908629441624,5.090909090909091,0.5789473684210527,0.9434056007226739,0.6448979591836734,0.8992989031343838,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1
00-0033897,Joe Mixon,HOU,,,,,,,707.0,9.0,174.7,,10,,,,70.7,,,,,,,,,RB,85.64,6,1.0,85.64,6,67.42,18.22,20.04,188.0,40.0,27.0,230.0,0.0,18.8,4.0,2.7,23.0,3.7606382978723403,8.518518518518519,0.675,0.9008755596255597,0.7514285714285714,0.8803138491186528,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1
00-0034857,Josh Allen,BUF,327.0,209.0,2571.0,18.0,6.0,67.0,353.0,9.0,254.14,6.0,10,32.7,257.1,6.7,35.3,25.413999938964842,7.862385321100917,0.6391437308868502,0.05504587155963303,0.01834862385321101,333.0,0.7631831813502956,8.929999923706054,QB,84.7,1,1.0,84.7,1,62.7,22.0,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1
00-0036555,Chuba Hubbard,CAR,,,,,,,710.0,8.0,145.8,,9,,,,78.88888888888889,,,,,,,,,RB,85.31,7,1.0,85.31,7,67.42,17.89,19.68,164.0,30.0,21.0,78.0,0.0,18.22222222222222,3.3333333333333335,2.3333333333333335,8.666666666666666,4.329268292682927,3.7142857142857144,0.7,0.8685674546532108,0.6469135802469136,0.8251031695799385,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1
