player_id,player_name,team,pass_attempts,completions,passing_yards,passing_tds,interceptions,sacks,rushing_attempts,rushing_yards,rushing_tds,fantasy_points_half_ppr,games_played,pass_attempts_per_game,rushing_attempts_per_game,rushing_yards_per_game,ypa,completion_pct,td_pct,int_pct,dropbacks,fantasy_pts_per_dropback,rush_fantasy_contribution,position,signal_score,signal_rank,vegas_multiplier,signal_score_pre_vegas,positional_rank,replacement_signal,vbd_raw,vbd,carries,targets,receptions,receiving_yards,receiving_tds,carries_per_game,receptions_per_game,ypc,carry_share,target_share_backfield,opportunity_share,goal_line_carries,yards_after_catch,target_share,air_yards,wopr,racr,targets_per_game,yac_per_reception,adot,total_air_yards,receiving_yards_per_game,yprr_proxy,redzone_targets,endzone_targets,fg_attempts,fg_makes,fg_made_40_49,fg_att_40_49,fg_made_50p,fg_att_50p,fg_made_60p,fg_att_60p,xp_attempts,xp_makes,fg_pct,fg_pct_40_49,fg_pct_50p,fg_attempts_per_game,fumbles_recovered,turnovers,sacks_per_game,turnovers_per_game,sack_rate,turnover_rate,points_allowed_per_game,opp_epa_per_dropback_allowed,overall_rank,tier,draft_round,draft_pick,situation_score,depth_chart_role,opportunity_ceiling,is_rookie,notes,adp,adp_rank,adp_best,adp_worst,adp_sd,scrape_date,value_delta
00-0034857,Josh Allen,BUF,282.0,197.0,2271.0,14.0,6.0,28.0,66.0,325.0,11.0,231.34,10,28.2,6.6,32.5,8.053191489361701,0.6985815602836879,0.0496453900709219,0.0212765957446808,310.0,0.7462580645161291,9.85,QB,104.19,1,1.286,81.02,1,61.12,43.07,38.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,25.4,22.0,22.0,32.0,1.38,2026-06-26,21.0
00-0033280,Christian McCaffrey,SF,,,,,,,,843.0,9.0,206.9,10,,,,,,,,,,,RB,101.39,2,1.0868,93.29,1,71.82,29.570000000000007,32.53,195.0,62.0,50.0,446.0,4.0,19.5,5.0,4.323076923076923,0.7652506036377005,0.9290043290043288,0.7965794129641205,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,8.85,8.0,2.0,31.0,4.75,2026-06-26,6.0
00-0039851,Drake Maye,NE,295.0,209.0,2681.0,20.0,6.0,29.0,62.0,271.0,2.0,212.34,10,29.5,6.2,27.1,9.08813559322034,0.7084745762711865,0.0677966101694915,0.0203389830508474,324.0,0.6553703703703704,3.91,QB,92.63,3,1.134,81.68,2,61.12,31.51,28.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,34.54,33.0,25.0,70.0,10.59,2026-06-26,30.0
00-0038543,Jaxon Smith-Njigba,SEA,,,,,,,,,,145.8,10,,,,,,,,,,,WR,101.44,4,1.1458,88.53,1,74.13,27.31,27.31,,99.0,71.0,1013.0,7.0,,,,,,,,347.0,0.3704339856190947,0.4735773725001104,0.8871551391787194,1.0099700897308077,9.9,4.887323943661972,10.131313131313131,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,4.13,5.0,3.0,7.0,0.93,2026-06-26,1.0
00-0039075,Puka Nacua,LA,,,,,,,,,,145.2,9,,,,,,,,,,,WR,101.36,5,1.18,85.9,2,74.13,27.230000000000004,27.23,,90.0,65.0,1023.0,7.0,,,,,,,,413.0,0.2936797389730798,0.3218857574295027,0.6658396386602717,1.1442953020134228,10.0,6.3538461538461535,9.933333333333334,894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,3.13,3.0,1.0,6.0,1.22,2026-06-26,-2.0
00-0037248,James Cook,BUF,,,,,,,,1069.0,7.0,175.1,10,,,,,,,,,,,RB,96.03,6,1.1001,87.29,2,71.82,24.210000000000008,26.63,200.0,26.0,21.0,202.0,2.0,20.0,2.1,5.345,0.816004118462109,0.4136904761904761,0.7456266184795597,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,
00-0039139,Jahmyr Gibbs,DET,,,,,,,,753.0,9.0,192.4,10,,,,,,,,,,,RB,95.7,7,1.1001,86.99,3,71.82,23.88000000000001,26.27,137.0,64.0,51.0,471.0,3.0,13.7,5.1,5.496350364963504,0.6214149948020916,0.7434126984126984,0.6649217721276545,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,4.1,4.0,1.0,7.0,1.69,2026-06-26,-3.0
00-0038597,Chase Brown,CIN,,,,,,,,745.0,5.0,160.2,10,,,,,,,,,,,RB,95.51,8,1.0601999999999998,90.09,4,71.82,23.69000000000001,26.06,145.0,58.0,45.0,317.0,4.0,14.5,4.5,5.137931034482759,0.6763441234205851,0.8174206349206349,0.7125848421169182,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,21.56,21.0,10.0,37.0,4.88,2026-06-26,13.0
00-0037840,Kyren Williams,LA,,,,,,,,774.0,8.0,135.9,10,,,,,,,,,,,RB,95.08,9,1.14,83.4,5,71.82,23.260000000000005,25.59,152.0,22.0,15.0,105.0,0.0,15.2,1.5,5.092105263157895,0.5800476295213137,0.8518518518518519,0.6009631566839805,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,43.06,42.0,29.0,56.0,6.62,2026-06-26,33.0
00-0034844,Saquon Barkley,PHI,,,,,,,,815.0,4.0,125.1,10,,,,,,,,,,,RB,94.83,10,1.0868,87.26,6,71.82,23.010000000000005,25.31,185.0,28.0,18.0,136.0,1.0,18.5,1.8,4.405405405405405,0.8202778697932173,0.6683333333333332,0.808285938174162,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,27.96,26.0,14.0,46.0,7.33,2026-06-26,16.0
